	Gram_Negative
661170	TRUE
2860	TRUE
591796	FALSE
4353625	TRUE
130922	FALSE
4376863	FALSE
931727	FALSE
341734	TRUE
70494	TRUE
4452721	TRUE
343315	TRUE
141154	TRUE
4456435	TRUE
354725	TRUE
590476	TRUE
109057	TRUE
299227	TRUE
4473655	TRUE
354518	TRUE
569893	TRUE
938948	FALSE
814721	FALSE
3575253	TRUE
4398746	FALSE
282549	FALSE
227000	FALSE
352526	TRUE
4358878	TRUE
572843	FALSE
164443	TRUE
325904	TRUE
2932342	TRUE
285497	TRUE
4374557	TRUE
225370	TRUE
1106925	TRUE
4342066	TRUE
321346	TRUE
3164102	TRUE
591394	TRUE
4327197	TRUE
836059	TRUE
141607	TRUE
540643	TRUE
832359	TRUE
611320	TRUE
3471198	TRUE
316772	TRUE
837775	TRUE
327767	TRUE
98554	TRUE
1115987	TRUE
2853353	FALSE
365956	TRUE
361402	TRUE
1766551	TRUE
4416718	TRUE
242585	TRUE
3025176	TRUE
238940	TRUE
4374816	TRUE
150582	TRUE
543572	TRUE
149607	TRUE
325735	TRUE
4437259	TRUE
578659	FALSE
1112192	TRUE
1111553	TRUE
4479618	TRUE
1603735	TRUE
571072	TRUE
4336253	FALSE
318061	TRUE
566357	TRUE
566771	TRUE
4314926	TRUE
4411920	TRUE
238105	TRUE
585568	TRUE
639286	TRUE
569884	TRUE
313522	TRUE
4355195	TRUE
305967	TRUE
1112543	TRUE
158026	TRUE
3760122	FALSE
251001	TRUE
428807	TRUE
1856738	TRUE
572150	TRUE
323712	TRUE
60638	TRUE
583231	TRUE
563693	TRUE
806030	FALSE
3867306	TRUE
943138	TRUE
605566	TRUE
4396740	TRUE
271524	TRUE
201237	TRUE
4443384	TRUE
736040	TRUE
230061	TRUE
4410004	TRUE
758023	TRUE
636022	TRUE
235042	TRUE
512873	TRUE
570408	TRUE
325346	TRUE
4388765	TRUE
151344	TRUE
3760117	TRUE
837605	TRUE
227717	TRUE
4461079	TRUE
875548	TRUE
146556	TRUE
681073	FALSE
1109402	TRUE
237131	TRUE
145637	TRUE
822328	TRUE
2401319	TRUE
310249	TRUE
581316	TRUE
4481373	TRUE
4362093	TRUE
1116149	TRUE
351676	TRUE
165553	TRUE
1114110	TRUE
4463767	FALSE
259809	TRUE
333593	TRUE
370067	FALSE
274011	FALSE
330888	TRUE
427183	FALSE
344914	TRUE
269907	TRUE
4018589	TRUE
228555	TRUE
553974	TRUE
4359533	TRUE
1110665	TRUE
4371135	TRUE
232551	FALSE
804325	TRUE
4398706	TRUE
262657	TRUE
499902	TRUE
